Time [s],MOSI,MISO,CLOCK,Reset,Channel 4,Channel 5,Channel 6,Channel 7
4.516079901,0,1,0,1,1,1,1,1
4.629836938,1,1,0,1,1,1,1,1
4.629837937,1,1,0,0,1,1,1,1
4.629855437,1,1,1,0,1,1,1,1
4.629873938,1,1,0,0,1,1,1,1
4.629874437,1,1,0,1,1,1,1,1
4.629970437,0,1,0,1,1,1,1,1
4.629971438,0,1,0,0,1,1,1,1
4.629980938,0,1,1,0,1,1,1,1
4.629990438,0,1,0,0,1,1,1,1
4.629990937,0,1,0,1,1,1,1,1
4.630001437,0,1,0,0,1,1,1,1
4.630010937,0,1,1,0,1,1,1,1
4.630020437,0,1,0,0,1,1,1,1
4.630020938,0,1,0,1,1,1,1,1
4.765646187,0,1,1,1,1,1,1,1
4.765648125,0,1,0,1,1,1,1,1
4.765658187,0,1,1,1,1,1,1,1
4.765660187,0,1,0,1,1,1,1,1
4.765670187,0,1,1,1,1,1,1,1
4.765672187,0,1,0,1,1,1,1,1
4.765682188,0,1,1,1,1,1,1,1
4.765684187,0,1,0,1,1,1,1,1
4.765694188,0,1,1,1,1,1,1,1
4.765696187,0,1,0,1,1,1,1,1
4.765697688,0,1,0,0,1,1,1,1
4.765706188,0,1,1,0,1,1,1,1
4.765708187,0,1,0,0,1,1,1,1
4.765709688,0,1,0,1,1,1,1,1
4.765718188,0,1,1,1,1,1,1,1
4.765720188,0,1,0,1,1,1,1,1
4.765730187,0,1,1,1,1,1,1,1
4.765732188,0,1,0,1,1,1,1,1
4.765733688,0,1,0,0,1,1,1,1
4.765742187,0,1,1,0,1,1,1,1
4.765744188,0,1,0,0,1,1,1,1
4.765754187,0,1,1,0,1,1,1,1
4.765756188,0,1,0,0,1,1,1,1
4.765766187,0,1,1,0,1,1,1,1
4.765768187,0,1,0,0,1,1,1,1
4.765771188,1,1,0,0,1,1,1,1
4.765778187,1,1,1,0,1,1,1,1
4.765780187,1,1,0,0,1,1,1,1
4.765790188,1,1,1,0,1,1,1,1
4.765792187,1,1,0,0,1,1,1,1
4.765802188,1,1,1,0,1,1,1,1
4.765804187,1,1,0,0,1,1,1,1
4.765814188,1,1,1,0,1,1,1,1
4.765816187,1,1,0,0,1,1,1,1
4.765826188,1,1,1,0,1,1,1,1
4.765828188,1,1,0,0,1,1,1,1
4.765838187,1,1,1,0,1,1,1,1
4.765840188,1,1,0,0,1,1,1,1
4.765841688,1,1,0,1,1,1,1,1
4.765850187,1,1,1,1,1,1,1,1
4.765852188,1,1,0,1,1,1,1,1
4.765855187,0,1,0,1,1,1,1,1
4.765862187,0,1,1,1,1,1,1,1
4.765864188,0,1,0,1,1,1,1,1
4.765874187,0,1,1,1,1,1,1,1
4.765876187,0,1,0,1,1,1,1,1
4.765877687,0,1,0,0,1,1,1,1
4.765886187,0,1,1,0,1,1,1,1
4.765888187,0,1,0,0,1,1,1,1
4.765898188,0,1,1,0,1,1,1,1
4.765900187,0,1,0,0,1,1,1,1
4.765910188,0,1,1,0,1,1,1,1
4.765912187,0,1,0,0,1,1,1,1
4.765922188,0,1,1,0,1,1,1,1
4.765924187,0,1,0,0,1,1,1,1
4.765934188,0,1,1,0,1,1,1,1
4.765936188,0,1,0,0,1,1,1,1
4.765946187,0,1,1,0,1,1,1,1
4.765948188,0,1,0,0,1,1,1,1
4.765958187,0,1,1,0,1,1,1,1
4.765960188,0,1,0,0,1,1,1,1
4.765970187,0,1,1,0,1,1,1,1
4.765972188,0,1,0,0,1,1,1,1
4.765982187,0,1,1,0,1,1,1,1
4.765984187,0,1,0,0,1,1,1,1
4.765994187,0,1,1,0,1,1,1,1
4.765996187,0,1,0,0,1,1,1,1
4.766006188,0,1,1,0,1,1,1,1
4.766008187,0,1,0,0,1,1,1,1
4.766018188,0,1,1,0,1,1,1,1
4.766020187,0,1,0,0,1,1,1,1
4.766030188,0,1,1,0,1,1,1,1
4.766032187,0,1,0,0,1,1,1,1
4.766042188,0,1,1,0,1,1,1,1
4.766044188,0,1,0,0,1,1,1,1
4.766054187,0,1,1,0,1,1,1,1
4.766056188,0,1,0,0,1,1,1,1
4.766066187,0,1,1,0,1,1,1,1
4.766068188,0,1,0,0,1,1,1,1
4.766078187,0,1,1,0,1,1,1,1
4.766080188,0,1,0,0,1,1,1,1
4.766090187,0,1,1,0,1,1,1,1
4.766092187,0,1,0,0,1,1,1,1
4.766102187,0,1,1,0,1,1,1,1
4.766104187,0,1,0,0,1,1,1,1
4.766114188,0,1,1,0,1,1,1,1
4.766116187,0,1,0,0,1,1,1,1
4.766126188,0,1,1,0,1,1,1,1
4.766128187,0,1,0,0,1,1,1,1
4.766138187,0,1,1,0,1,1,1,1
4.766140187,0,1,0,0,1,1,1,1
4.766150188,0,1,1,0,1,1,1,1
4.766152188,0,1,0,0,1,1,1,1
4.766162187,0,1,1,0,1,1,1,1
4.766164188,0,1,0,0,1,1,1,1
4.766174187,0,1,1,0,1,1,1,1
4.766176188,0,1,0,0,1,1,1,1
4.766186187,0,1,1,0,1,1,1,1
4.766188188,0,1,0,0,1,1,1,1
4.766198188,0,1,1,0,1,1,1,1
4.766200187,0,1,0,0,1,1,1,1
4.766210187,0,1,1,0,1,1,1,1
4.766212187,0,1,0,0,1,1,1,1
4.766222188,0,1,1,0,1,1,1,1
4.766224187,0,1,0,0,1,1,1,1
4.766234188,0,1,1,0,1,1,1,1
4.766236187,0,1,0,0,1,1,1,1
4.766246188,0,1,1,0,1,1,1,1
4.766248187,0,1,0,0,1,1,1,1
4.766258187,0,1,1,0,1,1,1,1
4.766260188,0,1,0,0,1,1,1,1
4.766270187,0,1,1,0,1,1,1,1
4.766272188,0,1,0,0,1,1,1,1
4.766273688,0,1,0,1,1,1,1,1
4.766282187,0,1,1,1,1,1,1,1
4.766284188,0,1,0,1,1,1,1,1
4.766294187,0,1,1,1,1,1,1,1
4.766296188,0,1,0,1,1,1,1,1
4.766297687,0,1,0,0,1,1,1,1
4.766306187,0,1,1,0,1,1,1,1
4.775888375,1,1,1,0,1,1,1,1
4.775888875,1,1,0,0,1,1,1,1
4.775906875,1,1,1,0,1,1,1,1
4.775925375,1,1,0,0,1,1,1,1
4.775925875,1,1,0,1,1,1,1,1
4.776021875,0,1,0,1,1,1,1,1
4.776022875,0,1,0,0,1,1,1,1
4.776032437,0,1,1,0,1,1,1,1
4.776041875,0,1,0,0,1,1,1,1
4.776042438,0,1,0,1,1,1,1,1
4.776052938,0,1,0,0,1,1,1,1
4.776062438,0,1,1,0,1,1,1,1
4.776071938,0,1,0,0,1,1,1,1
4.776072437,0,1,0,1,1,1,1,1
4.785817625,1,1,0,1,1,1,1,1
4.785818625,1,1,0,0,1,1,1,1
4.785836125,1,1,1,0,1,1,1,1
4.785854625,1,1,0,0,1,1,1,1
4.785855125,1,1,0,1,1,1,1,1
4.785951125,0,1,0,1,1,1,1,1
4.785952125,0,1,0,0,1,1,1,1
4.785961625,0,1,1,0,1,1,1,1
4.785971125,0,1,0,0,1,1,1,1
4.785971625,0,1,0,1,1,1,1,1
4.785982125,0,1,0,0,1,1,1,1
4.785991625,0,1,1,0,1,1,1,1
4.786001125,0,1,0,0,1,1,1,1
4.786001625,0,1,0,1,1,1,1,1
4.810562375,1,1,0,1,1,1,1,1
4.810564375,1,1,1,1,1,1,1,1
4.825880000,0,1,1,1,1,1,1,1
4.825880500,0,1,0,1,1,1,1,1
4.825881000,0,1,0,0,1,1,1,1
4.825890500,1,1,0,0,1,1,1,1
4.825900000,0,1,0,0,1,1,1,1
4.825900500,0,1,1,0,1,1,1,1
4.825910000,1,1,1,0,1,1,1,1
4.825919500,0,1,1,0,1,1,1,1
4.825920000,0,1,0,0,1,1,1,1
4.825920500,0,1,0,1,1,1,1,1
4.825930000,1,1,0,1,1,1,1,1
4.825939500,0,1,0,1,1,1,1,1
4.825940500,0,1,0,0,1,1,1,1
4.825950000,1,1,0,0,1,1,1,1
4.825959500,0,1,0,0,1,1,1,1
4.825960000,0,1,1,0,1,1,1,1
4.825969500,1,1,1,0,1,1,1,1
4.825979000,0,1,1,0,1,1,1,1
4.825979500,0,1,0,0,1,1,1,1
4.825980000,0,1,0,1,1,1,1,1
4.825989500,1,1,0,1,1,1,1,1
4.826074000,0,1,0,1,1,1,1,1
4.826075000,0,1,0,0,1,1,1,1
4.826088000,0,1,1,0,1,1,1,1
4.826101000,0,1,0,0,1,1,1,1
4.826101500,0,1,0,1,1,1,1,1
4.826115500,0,1,0,0,1,1,1,1
4.826128500,0,1,1,0,1,1,1,1
4.826141500,0,1,0,0,1,1,1,1
4.826142000,0,1,0,1,1,1,1,1
4.826704562,0,1,0,0,1,1,1,1
4.826714062,1,1,0,0,1,1,1,1
4.826723562,0,1,0,0,1,1,1,1
4.826724063,0,1,1,0,1,1,1,1
4.826733563,1,1,1,0,1,1,1,1
4.826743063,0,1,1,0,1,1,1,1
4.826743562,0,1,0,0,1,1,1,1
4.826744063,0,1,0,1,1,1,1,1
4.826753563,1,1,0,1,1,1,1,1
4.826763063,0,1,0,1,1,1,1,1
4.826764062,0,1,0,0,1,1,1,1
4.826773562,1,1,0,0,1,1,1,1
4.826783062,0,1,0,0,1,1,1,1
4.826783563,0,1,1,0,1,1,1,1
4.826793063,1,1,1,0,1,1,1,1
4.826802563,0,1,1,0,1,1,1,1
4.826803062,0,1,0,0,1,1,1,1
4.826803563,0,1,0,1,1,1,1,1
4.826813063,1,1,0,1,1,1,1,1
4.826897563,0,1,0,1,1,1,1,1
4.826898563,0,1,0,0,1,1,1,1
4.826911563,0,1,1,0,1,1,1,1
4.826924563,0,1,0,0,1,1,1,1
4.826925063,0,1,0,1,1,1,1,1
4.826939063,0,1,0,0,1,1,1,1
4.826952063,0,1,1,0,1,1,1,1
4.826965063,0,1,0,0,1,1,1,1
4.826965562,0,1,0,1,1,1,1,1
4.827463125,0,1,0,0,1,1,1,1
4.827472625,1,1,0,0,1,1,1,1
4.827482125,0,1,0,0,1,1,1,1
4.827482625,0,1,1,0,1,1,1,1
4.827492125,1,1,1,0,1,1,1,1
4.827501625,0,1,1,0,1,1,1,1
4.827502125,0,1,0,0,1,1,1,1
4.827502625,0,1,0,1,1,1,1,1
4.827512125,1,1,0,1,1,1,1,1
4.827521625,0,1,0,1,1,1,1,1
4.827522625,0,1,0,0,1,1,1,1
4.827532125,1,1,0,0,1,1,1,1
4.827541625,0,1,0,0,1,1,1,1
4.827542125,0,1,1,0,1,1,1,1
4.827551625,1,1,1,0,1,1,1,1
4.827561125,0,1,1,0,1,1,1,1
4.827561625,0,1,0,0,1,1,1,1
4.827562125,0,1,0,1,1,1,1,1
4.827571625,1,1,0,1,1,1,1,1
4.827656125,0,1,0,1,1,1,1,1
4.827657125,0,1,0,0,1,1,1,1
4.827670125,0,1,1,0,1,1,1,1
4.827683125,0,1,0,0,1,1,1,1
4.827683625,0,1,0,1,1,1,1,1
4.827697625,0,1,0,0,1,1,1,1
4.827710625,0,1,1,0,1,1,1,1
4.827723625,0,1,0,0,1,1,1,1
4.827724125,0,1,0,1,1,1,1,1
4.837180313,1,1,0,1,1,1,1,1
4.837181313,1,1,0,0,1,1,1,1
4.837198812,1,1,1,0,1,1,1,1
4.837217312,1,1,0,0,1,1,1,1
4.837217812,1,1,0,1,1,1,1,1
4.837313812,0,1,0,1,1,1,1,1
4.837314812,0,1,0,0,1,1,1,1
4.837324312,0,1,1,0,1,1,1,1
4.837333812,0,1,0,0,1,1,1,1
4.837334313,0,1,0,1,1,1,1,1
4.837344812,0,1,0,0,1,1,1,1
4.837354312,0,1,1,0,1,1,1,1
4.837363812,0,1,0,0,1,1,1,1
4.837364313,0,1,0,1,1,1,1,1
4.846923500,1,1,0,1,1,1,1,1
4.846924500,1,1,0,0,1,1,1,1
4.846942000,1,1,1,0,1,1,1,1
4.846960500,1,1,0,0,1,1,1,1
4.846961000,1,1,0,1,1,1,1,1
4.847057000,0,1,0,1,1,1,1,1
4.847058000,0,1,0,0,1,1,1,1
4.847067500,0,1,1,0,1,1,1,1
4.847077000,0,1,0,0,1,1,1,1
4.847077500,0,1,0,1,1,1,1,1
4.847088000,0,1,0,0,1,1,1,1
4.847097500,0,1,1,0,1,1,1,1
4.847107000,0,1,0,0,1,1,1,1
4.847107500,0,1,0,1,1,1,1,1
4.871018250,1,1,0,1,1,1,1,1
4.871020250,1,1,1,1,1,1,1,1
4.886489812,0,1,1,1,1,1,1,1
4.886490313,0,1,0,1,1,1,1,1
4.886490812,0,1,0,0,1,1,1,1
4.886500312,1,1,0,0,1,1,1,1
4.886509812,0,1,0,0,1,1,1,1
4.886510312,0,1,1,0,1,1,1,1
4.886519812,1,1,1,0,1,1,1,1
4.886529313,0,1,1,0,1,1,1,1
4.886529813,0,1,0,0,1,1,1,1
4.886530312,0,1,0,1,1,1,1,1
4.886539875,1,1,0,1,1,1,1,1
4.886549312,0,1,0,1,1,1,1,1
4.886550375,0,1,0,0,1,1,1,1
4.886559875,1,1,0,0,1,1,1,1
4.886569375,0,1,0,0,1,1,1,1
4.886569875,0,1,1,0,1,1,1,1
4.886579375,1,1,1,0,1,1,1,1
4.886588875,0,1,1,0,1,1,1,1
4.886589375,0,1,0,0,1,1,1,1
4.886589875,0,1,0,1,1,1,1,1
4.886599375,1,1,0,1,1,1,1,1
4.901413437,0,1,0,1,1,1,1,1
4.901528437,1,1,0,1,1,1,1,1
4.916894500,0,1,0,1,1,1,1,1
4.916895500,0,1,0,0,1,1,1,1
4.916908500,0,1,1,0,1,1,1,1
4.916921500,0,1,0,0,1,1,1,1
4.916922000,0,1,0,1,1,1,1,1
4.916936000,0,1,0,0,1,1,1,1
4.916949000,0,1,1,0,1,1,1,1
4.916962000,0,1,0,0,1,1,1,1
4.916962500,0,1,0,1,1,1,1,1
4.917608562,0,1,0,0,1,1,1,1
4.917618062,1,1,0,0,1,1,1,1
4.917627562,0,1,0,0,1,1,1,1
4.917628062,0,1,1,0,1,1,1,1
4.917637563,1,1,1,0,1,1,1,1
4.917647063,0,1,1,0,1,1,1,1
4.917647563,0,1,0,0,1,1,1,1
4.917648062,0,1,0,1,1,1,1,1
4.917657562,1,1,0,1,1,1,1,1
4.917667062,0,1,0,1,1,1,1,1
4.917668062,0,1,0,0,1,1,1,1
4.917677562,1,1,0,0,1,1,1,1
4.917687062,0,1,0,0,1,1,1,1
4.917687563,0,1,1,0,1,1,1,1
4.917697063,1,1,1,0,1,1,1,1
4.917706563,0,1,1,0,1,1,1,1
4.917707062,0,1,0,0,1,1,1,1
4.917707563,0,1,0,1,1,1,1,1
