Time [s],MOSI,MISO,CLOCK,Reset,Channel 4,Channel 5,Channel 6,Channel 7
8.979231832,0,1,0,1,1,1,1,1
9.039065375,1,1,0,1,1,1,1,1
9.039066375,1,1,0,0,1,1,1,1
9.039083875,1,1,1,0,1,1,1,1
9.039102375,1,1,0,0,1,1,1,1
9.039102875,1,1,0,1,1,1,1,1
9.039198938,0,1,0,1,1,1,1,1
9.039199937,0,1,0,0,1,1,1,1
9.039209438,0,1,1,0,1,1,1,1
9.039218937,0,1,0,0,1,1,1,1
9.039219437,0,1,0,1,1,1,1,1
9.039229938,0,1,0,0,1,1,1,1
9.039239437,0,1,1,0,1,1,1,1
9.039248938,0,1,0,0,1,1,1,1
9.039249438,0,1,0,1,1,1,1,1
9.075227000,1,1,0,1,1,1,1,1
9.075229000,1,1,1,1,1,1,1,1
9.090313562,0,1,1,1,1,1,1,1
9.090314062,0,1,0,1,1,1,1,1
9.090314562,0,1,0,0,1,1,1,1
9.090324063,1,1,0,0,1,1,1,1
9.090333562,0,1,0,0,1,1,1,1
9.090334063,0,1,1,0,1,1,1,1
9.090343562,1,1,1,0,1,1,1,1
9.090353063,0,1,1,0,1,1,1,1
9.090353563,0,1,0,0,1,1,1,1
9.090354062,0,1,0,1,1,1,1,1
9.090363563,1,1,0,1,1,1,1,1
9.090373062,0,1,0,1,1,1,1,1
9.090374063,0,1,0,0,1,1,1,1
9.090383562,1,1,0,0,1,1,1,1
9.090393063,0,1,0,0,1,1,1,1
9.090393562,0,1,1,0,1,1,1,1
9.090403063,1,1,1,0,1,1,1,1
9.090412562,0,1,1,0,1,1,1,1
9.090413062,0,1,0,0,1,1,1,1
9.090413563,0,1,0,1,1,1,1,1
9.090423062,1,1,0,1,1,1,1,1
9.090512063,0,1,0,1,1,1,1,1
9.090515062,0,1,0,0,1,1,1,1
9.105401188,0,1,0,1,1,1,1,1
9.120207750,0,1,0,0,1,1,1,1
9.150204437,1,1,0,0,1,1,1,1
9.150207937,1,1,1,0,1,1,1,1
9.150210438,0,1,1,0,1,1,1,1
9.150210938,0,1,0,0,1,1,1,1
9.150213938,0,1,1,0,1,1,1,1
9.150216437,1,1,1,0,1,1,1,1
9.150216937,1,1,0,0,1,1,1,1
9.150219937,1,1,1,0,1,1,1,1
9.150222438,0,1,1,0,1,1,1,1
9.150222938,0,1,0,0,1,1,1,1
9.150225938,0,1,1,0,1,1,1,1
9.150228437,1,1,1,0,1,1,1,1
9.150228937,1,1,0,0,1,1,1,1
9.150231937,1,1,1,0,1,1,1,1
9.150234938,1,1,0,0,1,1,1,1
9.150237938,1,1,1,0,1,1,1,1
9.150240438,0,1,1,0,1,1,1,1
9.150240937,0,1,0,0,1,1,1,1
9.150243938,0,1,1,0,1,1,1,1
9.150246938,0,1,0,0,1,1,1,1
9.150249937,0,1,1,0,1,1,1,1
9.150260938,0,1,0,0,1,1,1,1
9.150263938,0,1,1,0,1,1,1,1
9.150266437,1,1,1,0,1,1,1,1
9.150266937,1,1,0,0,1,1,1,1
9.150269937,1,1,1,0,1,1,1,1
9.150272437,0,1,1,0,1,1,1,1
9.150272938,0,1,0,0,1,1,1,1
9.150275938,0,1,1,0,1,1,1,1
9.150278438,1,1,1,0,1,1,1,1
9.150278937,1,1,0,0,1,1,1,1
9.150281938,1,1,1,0,1,1,1,1
9.150284437,0,1,1,0,1,1,1,1
9.150284938,0,1,0,0,1,1,1,1
9.150287937,0,1,1,0,1,1,1,1
9.150290937,0,1,0,0,1,1,1,1
9.150293938,0,1,1,0,1,1,1,1
9.150296437,1,1,1,0,1,1,1,1
9.150296938,1,1,0,0,1,1,1,1
9.150299937,1,1,1,0,1,1,1,1
9.150302937,1,1,0,0,1,1,1,1
9.150305938,1,1,1,0,1,1,1,1
9.150308375,1,0,1,0,1,1,1,1
9.150316438,0,0,1,0,1,1,1,1
9.150316937,0,0,0,0,1,1,1,1
9.150319938,0,0,1,0,1,1,1,1
9.150322938,0,1,0,0,1,1,1,1
9.150325937,0,1,1,0,1,1,1,1
9.150328937,0,0,0,0,1,1,1,1
9.150331938,0,0,1,0,1,1,1,1
9.150334938,0,1,0,0,1,1,1,1
9.150337937,0,1,1,0,1,1,1,1
9.150340937,0,0,0,0,1,1,1,1
9.150343938,0,0,1,0,1,1,1,1
9.150346938,0,0,0,0,1,1,1,1
9.150349937,0,0,1,0,1,1,1,1
9.150352937,0,1,0,0,1,1,1,1
9.150355938,0,1,1,0,1,1,1,1
9.150358938,0,1,0,0,1,1,1,1
9.150361937,0,1,1,0,1,1,1,1
9.150372938,0,0,0,0,1,1,1,1
9.150375937,0,0,1,0,1,1,1,1
9.150378937,0,0,0,0,1,1,1,1
9.150381938,0,0,1,0,1,1,1,1
9.150384938,0,0,0,0,1,1,1,1
9.150387937,0,0,1,0,1,1,1,1
9.150390937,0,0,0,0,1,1,1,1
9.150393938,0,0,1,0,1,1,1,1
9.150396938,0,0,0,0,1,1,1,1
9.150399937,0,0,1,0,1,1,1,1
9.150402937,0,0,0,0,1,1,1,1
9.150405938,0,0,1,0,1,1,1,1
9.150408937,0,0,0,0,1,1,1,1
