Time [s],MOSI,MISO,CLOCK,Reset,Channel 4,Channel 5,Channel 6,Channel 7
8.336928468,0,1,0,1,1,1,1,1
8.450809438,1,1,0,1,1,1,1,1
8.450810437,1,1,0,0,1,1,1,1
8.450827937,1,1,1,0,1,1,1,1
8.450846437,1,1,0,0,1,1,1,1
8.450847000,1,1,0,1,1,1,1,1
8.450943000,0,1,0,1,1,1,1,1
8.450944000,0,1,0,0,1,1,1,1
8.450953500,0,1,1,0,1,1,1,1
8.450963000,0,1,0,0,1,1,1,1
8.450963500,0,1,0,1,1,1,1,1
8.450974000,0,1,0,0,1,1,1,1
8.450983500,0,1,1,0,1,1,1,1
8.450993000,0,1,0,0,1,1,1,1
8.450993500,0,1,0,1,1,1,1,1
8.476555313,1,1,0,1,1,1,1,1
8.476557313,1,1,1,1,1,1,1,1
8.491593875,0,1,1,1,1,1,1,1
8.491594375,0,1,0,1,1,1,1,1
8.491594875,0,1,0,0,1,1,1,1
8.491604375,1,1,0,0,1,1,1,1
8.491613875,0,1,0,0,1,1,1,1
8.491614375,0,1,1,0,1,1,1,1
8.491623875,1,1,1,0,1,1,1,1
8.491633375,0,1,1,0,1,1,1,1
8.491633875,0,1,0,0,1,1,1,1
8.491634375,0,1,0,1,1,1,1,1
8.491643875,1,1,0,1,1,1,1,1
8.491653375,0,1,0,1,1,1,1,1
8.491654375,0,1,0,0,1,1,1,1
8.491663875,1,1,0,0,1,1,1,1
8.491673375,0,1,0,0,1,1,1,1
8.491673875,0,1,1,0,1,1,1,1
8.491683375,1,1,1,0,1,1,1,1
8.491692875,0,1,1,0,1,1,1,1
8.491693375,0,1,0,0,1,1,1,1
8.491693875,0,1,0,1,1,1,1,1
8.491703375,1,1,0,1,1,1,1,1
8.491792437,0,1,0,1,1,1,1,1
8.491795438,0,1,0,0,1,1,1,1
8.506546500,0,1,0,1,1,1,1,1
8.521861062,0,1,0,0,1,1,1,1
8.552702812,1,1,0,0,1,1,1,1
8.552706312,1,1,1,0,1,1,1,1
8.552708813,0,1,1,0,1,1,1,1
8.552709312,0,1,0,0,1,1,1,1
8.552712313,0,1,1,0,1,1,1,1
8.552714812,1,1,1,0,1,1,1,1
8.552715313,1,1,0,0,1,1,1,1
8.552718312,1,1,1,0,1,1,1,1
8.552720813,0,1,1,0,1,1,1,1
8.552721312,0,1,0,0,1,1,1,1
8.552724313,0,1,1,0,1,1,1,1
8.552726812,1,1,1,0,1,1,1,1
8.552727313,1,1,0,0,1,1,1,1
8.552730312,1,1,1,0,1,1,1,1
8.552733312,1,1,0,0,1,1,1,1
8.552736313,1,1,1,0,1,1,1,1
8.552738812,0,1,1,0,1,1,1,1
8.552739312,0,1,0,0,1,1,1,1
8.552742312,0,1,1,0,1,1,1,1
8.552745313,0,1,0,0,1,1,1,1
8.552748313,0,1,1,0,1,1,1,1
8.552759312,0,1,0,0,1,1,1,1
8.552762313,0,1,1,0,1,1,1,1
8.552764812,1,1,1,0,1,1,1,1
8.552765313,1,1,0,0,1,1,1,1
8.552768312,1,1,1,0,1,1,1,1
8.552770813,0,1,1,0,1,1,1,1
8.552771312,0,1,0,0,1,1,1,1
8.552774313,0,1,1,0,1,1,1,1
8.552776812,1,1,1,0,1,1,1,1
8.552777312,1,1,0,0,1,1,1,1
8.552780312,1,1,1,0,1,1,1,1
8.552782813,0,1,1,0,1,1,1,1
8.552783313,0,1,0,0,1,1,1,1
8.552786313,0,1,1,0,1,1,1,1
8.552789312,0,1,0,0,1,1,1,1
8.552792312,0,1,1,0,1,1,1,1
8.552794813,1,1,1,0,1,1,1,1
8.552795313,1,1,0,0,1,1,1,1
8.552798313,1,1,1,0,1,1,1,1
8.552801312,1,1,0,0,1,1,1,1
8.552804312,1,1,1,0,1,1,1,1
8.552807313,1,0,1,0,1,1,1,1
8.552814812,0,0,1,0,1,1,1,1
8.552815312,0,0,0,0,1,1,1,1
8.552818312,0,0,1,0,1,1,1,1
8.552821313,0,1,0,0,1,1,1,1
8.552824313,0,1,1,0,1,1,1,1
8.552827312,0,1,0,0,1,1,1,1
8.552827375,0,0,0,0,1,1,1,1
8.552830312,0,0,1,0,1,1,1,1
8.552833313,0,1,0,0,1,1,1,1
8.552836313,0,1,1,0,1,1,1,1
8.552839312,0,1,0,0,1,1,1,1
8.552839375,0,0,0,0,1,1,1,1
8.552842312,0,0,1,0,1,1,1,1
8.552845313,0,0,0,0,1,1,1,1
8.552848313,0,0,1,0,1,1,1,1
8.552851312,0,0,0,0,1,1,1,1
8.552851375,0,1,0,0,1,1,1,1
8.552854312,0,1,1,0,1,1,1,1
8.552857313,0,1,0,0,1,1,1,1
8.552860313,0,1,1,0,1,1,1,1
8.552871313,0,1,0,0,1,1,1,1
8.552871375,0,0,0,0,1,1,1,1
8.552874313,0,0,1,0,1,1,1,1
8.552877312,0,0,0,0,1,1,1,1
8.552880312,0,0,1,0,1,1,1,1
8.552883313,0,0,0,0,1,1,1,1
8.552886313,0,0,1,0,1,1,1,1
8.552889312,0,0,0,0,1,1,1,1
8.552892312,0,0,1,0,1,1,1,1
8.552895313,0,0,0,0,1,1,1,1
8.552898312,0,0,1,0,1,1,1,1
8.552901312,0,0,0,0,1,1,1,1
8.552904313,0,0,1,0,1,1,1,1
8.552907313,0,0,0,0,1,1,1,1
8.552910312,0,0,1,0,1,1,1,1
8.552913312,0,0,0,0,1,1,1,1
8.552916313,0,0,1,0,1,1,1,1
8.553339375,0,0,0,0,1,1,1,1
8.553341875,1,0,0,0,1,1,1,1
8.553345375,1,0,1,0,1,1,1,1
8.553347875,0,0,1,0,1,1,1,1
8.553348375,0,0,0,0,1,1,1,1
8.553351375,0,0,1,0,1,1,1,1
8.553353875,1,0,1,0,1,1,1,1
8.553354375,1,0,0,0,1,1,1,1
8.553357375,1,0,1,0,1,1,1,1
8.553359875,0,0,1,0,1,1,1,1
8.553360375,0,0,0,0,1,1,1,1
8.553363375,0,0,1,0,1,1,1,1
8.553365875,1,0,1,0,1,1,1,1
8.553366375,1,0,0,0,1,1,1,1
8.553369375,1,0,1,0,1,1,1,1
8.553372375,1,0,0,0,1,1,1,1
8.553375375,1,0,1,0,1,1,1,1
8.553377875,0,0,1,0,1,1,1,1
8.553378375,0,0,0,0,1,1,1,1
8.553381375,0,0,1,0,1,1,1,1
8.553384375,0,0,0,0,1,1,1,1
8.553387375,0,0,1,0,1,1,1,1
8.553398375,0,1,0,0,1,1,1,1
8.553401375,0,1,1,0,1,1,1,1
8.553403875,1,1,1,0,1,1,1,1
8.553404375,1,0,0,0,1,1,1,1
8.553407375,1,0,1,0,1,1,1,1
8.553409875,0,0,1,0,1,1,1,1
8.553410375,0,1,0,0,1,1,1,1
8.553413375,0,1,1,0,1,1,1,1
8.553415875,1,1,1,0,1,1,1,1
8.553416375,1,0,0,0,1,1,1,1
8.553419375,1,0,1,0,1,1,1,1
8.553421875,0,0,1,0,1,1,1,1
8.553422375,0,1,0,0,1,1,1,1
8.553425375,0,1,1,0,1,1,1,1
8.553428375,0,1,0,0,1,1,1,1
8.553431375,0,1,1,0,1,1,1,1
8.553433875,1,1,1,0,1,1,1,1
8.553434375,1,0,0,0,1,1,1,1
8.553437375,1,0,1,0,1,1,1,1
8.553440375,1,0,0,0,1,1,1,1
8.553443375,1,0,1,0,1,1,1,1
8.553453875,0,0,1,0,1,1,1,1
8.553454375,0,0,0,0,1,1,1,1
8.553457375,0,0,1,0,1,1,1,1
8.553460375,0,1,0,0,1,1,1,1
8.553463375,0,1,1,0,1,1,1,1
8.553466375,0,0,0,0,1,1,1,1
8.553469375,0,0,1,0,1,1,1,1
8.553472375,0,1,0,0,1,1,1,1
8.553475375,0,1,1,0,1,1,1,1
8.553478375,0,0,0,0,1,1,1,1
8.553481375,0,0,1,0,1,1,1,1
8.553484375,0,0,0,0,1,1,1,1
8.553487375,0,0,1,0,1,1,1,1
8.553490375,0,1,0,0,1,1,1,1
8.553493375,0,1,1,0,1,1,1,1
8.553496375,0,1,0,0,1,1,1,1
8.553499375,0,1,1,0,1,1,1,1
8.553510375,0,0,0,0,1,1,1,1
8.553513375,0,0,1,0,1,1,1,1
8.553516375,0,0,0,0,1,1,1,1
8.553519375,0,0,1,0,1,1,1,1
8.553522375,0,0,0,0,1,1,1,1
8.553525375,0,0,1,0,1,1,1,1
8.553528375,0,0,0,0,1,1,1,1
8.553531375,0,0,1,0,1,1,1,1
8.553534375,0,0,0,0,1,1,1,1
8.553537375,0,0,1,0,1,1,1,1
8.553540375,0,0,0,0,1,1,1,1
8.553543375,0,0,1,0,1,1,1,1
8.553546375,0,0,0,0,1,1,1,1
8.553549375,0,0,1,0,1,1,1,1
8.553552375,0,0,0,0,1,1,1,1
8.553555375,0,0,1,0,1,1,1,1
8.553566375,0,0,0,0,1,1,1,1
8.553569375,0,0,1,0,1,1,1,1
