Time [s],MOSI,MISO,CLOCK,Reset,Channel 4,Channel 5,Channel 6,Channel 7
6.776506917,0,1,0,1,1,1,1,1
6.823476750,1,1,0,1,1,1,1,1
6.823477750,1,1,0,0,1,1,1,1
6.823495250,1,1,1,0,1,1,1,1
6.823513750,1,1,0,0,1,1,1,1
6.823514250,1,1,0,1,1,1,1,1
6.823610250,0,1,0,1,1,1,1,1
6.823611250,0,1,0,0,1,1,1,1
6.823620750,0,1,1,0,1,1,1,1
6.823630250,0,1,0,0,1,1,1,1
6.823630750,0,1,0,1,1,1,1,1
6.823641250,0,1,0,0,1,1,1,1
6.823650750,0,1,1,0,1,1,1,1
6.823660250,0,1,0,0,1,1,1,1
6.823660750,0,1,0,1,1,1,1,1
6.852355812,1,1,0,1,1,1,1,1
6.852357813,1,1,1,1,1,1,1,1
6.867451375,0,1,1,1,1,1,1,1
6.867451875,0,1,0,1,1,1,1,1
6.867452375,0,1,0,0,1,1,1,1
6.867461875,1,1,0,0,1,1,1,1
6.867471375,0,1,0,0,1,1,1,1
6.867471875,0,1,1,0,1,1,1,1
6.867481375,1,1,1,0,1,1,1,1
6.867490875,0,1,1,0,1,1,1,1
6.867491375,0,1,0,0,1,1,1,1
6.867491875,0,1,0,1,1,1,1,1
6.867501375,1,1,0,1,1,1,1,1
6.867510875,0,1,0,1,1,1,1,1
6.867511875,0,1,0,0,1,1,1,1
6.867521375,1,1,0,0,1,1,1,1
6.867530875,0,1,0,0,1,1,1,1
6.867531375,0,1,1,0,1,1,1,1
6.867540875,1,1,1,0,1,1,1,1
6.867550375,0,1,1,0,1,1,1,1
6.867550875,0,1,0,0,1,1,1,1
6.867551375,0,1,0,1,1,1,1,1
6.867560875,1,1,0,1,1,1,1,1
6.867649875,0,1,0,1,1,1,1,1
6.867652875,0,1,0,0,1,1,1,1
6.882656000,0,1,0,1,1,1,1,1
6.898114562,0,1,0,0,1,1,1,1
6.928718313,1,1,0,0,1,1,1,1
6.928721813,1,1,1,0,1,1,1,1
6.928724312,0,1,1,0,1,1,1,1
6.928724812,0,1,0,0,1,1,1,1
6.928727813,0,1,1,0,1,1,1,1
6.928730312,1,1,1,0,1,1,1,1
6.928730812,1,1,0,0,1,1,1,1
6.928733812,1,1,1,0,1,1,1,1
6.928736312,0,1,1,0,1,1,1,1
6.928736813,0,1,0,0,1,1,1,1
6.928739812,0,1,1,0,1,1,1,1
6.928742312,1,1,1,0,1,1,1,1
6.928742813,1,1,0,0,1,1,1,1
6.928745812,1,1,1,0,1,1,1,1
6.928748813,1,1,0,0,1,1,1,1
6.928751812,1,1,1,0,1,1,1,1
6.928754312,0,1,1,0,1,1,1,1
6.928754813,0,1,0,0,1,1,1,1
6.928757812,0,1,1,0,1,1,1,1
6.928760813,0,1,0,0,1,1,1,1
6.928763812,0,1,1,0,1,1,1,1
6.928774813,0,1,0,0,1,1,1,1
6.928777812,0,1,1,0,1,1,1,1
6.928780312,1,1,1,0,1,1,1,1
6.928780813,1,1,0,0,1,1,1,1
6.928783812,1,1,1,0,1,1,1,1
6.928786312,0,1,1,0,1,1,1,1
6.928786813,0,1,0,0,1,1,1,1
6.928789812,0,1,1,0,1,1,1,1
6.928792312,1,1,1,0,1,1,1,1
6.928792813,1,1,0,0,1,1,1,1
6.928795812,1,1,1,0,1,1,1,1
6.928798312,0,1,1,0,1,1,1,1
6.928798813,0,1,0,0,1,1,1,1
6.928801812,0,1,1,0,1,1,1,1
6.928804813,0,1,0,0,1,1,1,1
6.928807812,0,1,1,0,1,1,1,1
6.928810312,1,1,1,0,1,1,1,1
6.928810813,1,1,0,0,1,1,1,1
6.928813812,1,1,1,0,1,1,1,1
6.928816813,1,1,0,0,1,1,1,1
6.928819812,1,1,1,0,1,1,1,1
6.928822750,1,0,1,0,1,1,1,1
6.928830312,0,0,1,0,1,1,1,1
6.928830813,0,0,0,0,1,1,1,1
6.928833812,0,0,1,0,1,1,1,1
6.928836813,0,1,0,0,1,1,1,1
6.928839812,0,1,1,0,1,1,1,1
6.928842813,0,0,0,0,1,1,1,1
6.928845812,0,0,1,0,1,1,1,1
6.928848813,0,1,0,0,1,1,1,1
6.928851812,0,1,1,0,1,1,1,1
6.928854813,0,0,0,0,1,1,1,1
6.928857813,0,0,1,0,1,1,1,1
6.928860812,0,0,0,0,1,1,1,1
6.928863813,0,0,1,0,1,1,1,1
